Sequence,Signal Type,Time (s),Frequency (Hz),Correlation Value
14,A,78.14,6774,1.0
14,C,81.22,6846,1.01
14,X,82.87,6882,0.92
15,D,9.6,8060,0.63
15,B,11.67,6894,1.01
15,C,13.64,6870,1.01
15,G,15.41,7339,0.76
15,B,17.59,6750,1.0
15,G,19.45,7411,0.84
15,B,21.67,6894,1.02
15,C,23.48,6846,1.01
15,E,25.18,7675,0.77
15,B,26.63,6870,1.02
15,C,28.43,6726,0.98
15,B,30.2,6870,1.01
15,E,32.2,7579,0.67
15,C,33.66,6726,0.98
15,B,35.36,6894,1.01
15,D,37.02,7867,0.81
15,G,39.15,7459,0.84
15,F,41.31,10078,0.72
15,C,42.32,6822,1.0
15,G,44.24,7411,0.8
15,B,46.62,6870,1.02
15,F,48.43,10054,0.73
15,D,49.24,7963,0.73
15,E,51.27,7819,0.74
15,A,52.7,6894,1.04
15,X,55.69,6882,0.84
16,D,9.58,7939,0.76
16,F,11.58,9837,0.81
16,G,12.74,7459,0.78
16,B,15.12,6726,0.99
16,D,16.64,7771,0.84
16,A,18.9,6774,1.0
16,E,22.11,7771,0.82
16,D,23.24,7891,0.72
16,B,25.48,6798,1.0
16,C,27.4,6870,1.01
16,X,29.02,6882,0.85
17,B,9.95,6822,1.0
17,C,12.02,6774,0.99
17,G,13.81,7435,0.85
17,E,16.08,7771,0.88
17,A,17.5,6870,1.01
17,C,20.66,6894,1.01
17,F,22.5,9909,0.89
17,A,23.69,6774,0.99
17,F,26.98,9789,0.82
17,G,28.03,7531,0.67
17,C,30.19,6798,1.0
17,A,31.96,6750,0.99
17,E,35.17,7723,0.82
17,F,36.64,9837,0.81
17,B,37.67,6798,1.0
17,A,39.74,6870,1.01
17,E,42.78,7627,0.74
17,D,43.8,7987,0.72
17,X,45.78,6882,0.92
18,G,9.95,7387,0.78
18,B,12.26,6774,0.99
18,F,14.11,9933,0.78
18,E,15.29,7699,0.83
18,A,16.86,6798,0.99
18,G,19.93,7411,0.71
18,D,21.85,7891,0.84
18,A,24.11,6894,1.02
18,D,26.87,7891,0.8
18,B,29.0,6798,1.01
18,E,30.85,7531,0.57
18,A,32.21,6702,0.99
18,G,35.54,7411,0.86
18,B,37.73,6870,1.01
18,D,39.17,7891,0.8
18,G,41.17,7387,0.82
18,B,43.57,6774,0.98
18,F,45.41,10006,0.75
18,C,46.55,6726,0.98
18,E,48.22,7771,0.85
18,D,49.16,7747,0.82
18,E,51.41,7507,0.56
18,C,52.89,6822,0.99
18,G,54.62,7531,0.67
18,D,56.62,7963,0.74
18,A,58.64,6822,1.0
18,E,61.68,7747,0.81
18,A,63.1,6774,1.0
18,F,66.34,9861,0.92
18,A,67.58,6894,1.02
18,C,70.67,6726,0.99
18,E,72.42,7675,0.82
18,A,73.96,6798,1.0
18,C,77.05,6894,1.01
18,E,78.76,7651,0.74
18,D,79.75,7771,0.85
18,B,81.79,6870,1.01
18,X,83.58,6882,0.95
19,D,9.57,7819,0.85
19,C,11.69,6750,0.99
19,F,13.39,10006,0.72
19,G,14.48,7483,0.79
19,B,16.67,6750,0.99
19,G,18.68,7507,0.74
19,B,20.9,6870,1.01
19,D,22.58,8036,0.67
19,A,24.7,6846,1.01
19,C,27.76,6894,0.99
19,B,29.55,6774,0.99
19,A,31.64,6750,0.99
19,G,34.92,7531,0.62
19,E,37.09,7675,0.85
19,C,38.46,6750,0.99
19,A,40.21,6726,0.99
19,G,43.42,7483,0.75
19,D,45.17,7747,0.86
19,F,47.25,10030,0.72
19,E,48.3,7675,0.86
19,B,49.71,6798,1.0
19,X,51.52,6882,0.92
20,F,9.94,9909,0.9
20,G,11.09,7507,0.7
20,F,13.41,10078,0.7
20,B,14.5,6846,0.99
20,D,15.94,8060,0.67
20,F,18.04,9813,0.91
20,A,19.11,6822,1.0
20,D,21.92,7771,0.77
20,F,23.97,9981,0.8
20,E,25.21,7627,0.77
20,G,26.69,7411,0.82
20,A,29.02,6726,0.99
20,D,31.82,7771,0.85
20,C,34.06,6798,0.99
20,A,35.91,6846,1.01
20,D,38.79,7939,0.79
20,E,40.91,7699,0.87
20,C,42.19,6750,0.98
20,A,43.91,6750,0.99
20,D,46.78,7891,0.84
20,C,48.88,6870,1.01
20,E,50.54,7627,0.72
20,F,51.93,9933,0.76
20,A,53.13,6822,1.0
20,B,56.18,6726,0.99
20,D,57.69,8036,0.68
20,C,59.81,6750,0.99
20,F,61.62,10078,0.7
20,E,62.62,7675,0.79
20,G,64.04,7507,0.71
20,X,66.15,6882,0.95
21,D,9.57,7819,0.88
21,E,11.7,7723,0.89
21,G,13.25,7387,0.74
21,E,15.4,7795,0.86
21,C,16.89,6894,1.01
21,B,18.71,6798,0.98
21,G,20.65,7531,0.65
21,E,22.85,7771,0.82
21,A,24.31,6750,0.98
21,C,27.57,6870,1.01
21,F,29.33,9861,0.87
21,E,30.35,7555,0.64
21,A,31.93,6846,1.01
21,F,35.19,9933,0.81
21,A,36.28,6870,1.01
21,G,39.49,7435,0.76
21,E,41.8,7771,0.8
21,A,43.28,6822,1.0
21,F,46.33,9933,0.82
21,B,47.45,6726,0.99
21,C,49.55,6918,1.01
21,B,51.47,6870,1.01
21,A,53.28,6774,1.0
21,G,56.44,7339,0.66
21,C,58.76,6798,0.98
21,F,60.57,10006,0.69
21,E,61.59,7579,0.63
21,C,63.0,6726,0.99
21,E,64.94,7675,0.75
21,C,66.52,6822,1.0
21,B,68.21,6894,1.01
21,E,70.19,7795,0.79
21,G,71.6,7387,0.72
21,B,73.86,6750,1.0
21,D,75.48,8012,0.66
21,X,77.44,6882,0.81
22,A,10.0,6894,1.05
22,D,12.8,8012,0.68
22,B,14.81,6822,1.0
22,D,16.34,7747,0.84
22,G,18.5,7507,0.73
22,A,20.76,6870,1.04
22,D,23.47,7939,0.73
22,F,25.55,9837,0.91
22,C,26.7,6822,1.0
22,D,28.15,7891,0.79
22,B,30.31,6870,1.01
22,A,32.31,6798,1.0
22,E,35.58,7651,0.76
22,G,36.95,7507,0.64
22,E,39.12,7579,0.64
22,F,40.47,9981,0.75
22,C,41.59,6726,0.99
22,A,43.35,6774,1.0
22,C,46.45,6894,1.01
22,E,48.11,7507,0.57
22,A,49.67,6726,0.99
22,G,52.75,7483,0.74
22,F,55.03,9957,0.86
22,C,56.07,6774,0.99
22,A,57.9,6846,1.01
22,D,60.53,7915,0.8
22,B,62.77,6894,1.01
22,X,64.55,6882,0.85
23,E,9.52,7651,0.73
23,C,11.03,6726,0.99
23,A,12.75,6846,1.01
23,E,15.84,7747,0.82
23,F,17.31,9909,0.82
23,D,18.14,7771,0.84
23,B,20.41,6894,1.02
23,F,22.38,9789,0.77
23,D,23.21,7915,0.78
23,F,25.35,9861,0.82
23,G,26.48,7387,0.76
23,D,28.25,8012,0.69
23,E,30.29,7747,0.87
23,D,31.41,8036,0.7
23,F,33.49,9789,0.86
23,A,34.59,6822,1.0
23,C,37.8,6870,1.01
23,B,39.48,6774,1.0
23,A,41.43,6774,1.0
23,C,44.72,6774,0.99
23,F,46.41,10054,0.73
23,C,47.65,6846,1.01
23,D,49.04,7987,0.7
23,E,51.22,7651,0.72
23,C,52.57,6846,1.01
23,G,54.46,7387,0.83
23,X,56.61,6882,0.86
24,G,9.94,7339,0.72
24,B,12.2,6846,1.01
24,F,14.11,10030,0.73
24,A,15.31,6846,1.0
24,B,18.36,6822,1.01
24,D,19.9,8036,0.68
24,B,21.99,6750,0.99
24,D,23.61,7795,0.84
24,B,25.82,6798,1.0
24,D,27.44,7891,0.81
24,E,29.5,7675,0.79
24,F,30.81,10054,0.72
24,C,31.82,6894,1.01
24,G,33.68,7363,0.78
24,D,35.44,8036,0.67
24,C,37.62,6822,0.99
24,D,38.94,7867,0.79
24,F,41.05,10078,0.69
24,D,41.9,7987,0.73
24,A,43.98,6822,1.01
24,D,46.7,7939,0.74
24,C,48.83,6726,0.99
24,E,50.54,7651,0.76
24,G,51.84,7435,0.83
24,F,54.18,9765,0.87
24,C,55.4,6870,1.01
24,G,57.26,7411,0.89
24,E,59.57,7603,0.68
24,B,60.91,6894,1.01
24,X,62.7,6882,0.91
25,B,9.98,6798,1.0
25,E,11.8,7819,0.83
25,F,13.28,9813,0.9
25,E,14.46,7699,0.85
25,B,15.8,6726,0.99
25,G,17.65,7387,0.8
25,E,20.01,7555,0.58
25,B,21.38,6870,1.01
25,E,23.21,7795,0.85
25,C,24.69,6702,0.98
25,A,26.63,6774,1.0
25,E,29.74,7675,0.83
25,C,31.09,6750,0.99
25,D,32.55,7939,0.74
25,E,34.6,7627,0.73
25,F,35.92,9837,0.92
25,E,36.96,7555,0.6
25,D,37.94,7915,0.77
25,C,40.11,6774,0.99
25,D,41.66,8036,0.67
25,A,43.78,6846,1.01
25,E,46.95,7555,0.64
25,G,48.41,7363,0.79
25,D,50.25,7987,0.72
25,B,52.51,6822,1.01
25,X,54.32,6882,0.87
26,D,9.56,7939,0.79
26,G,11.58,7555,0.61
26,C,13.8,6894,1.01
26,A,15.53,6870,1.01
26,E,18.7,7531,0.58
26,G,20.0,7555,0.58
26,F,22.13,9837,0.84
26,E,23.32,7675,0.74
26,C,24.74,6750,0.99
26,G,26.59,7339,0.81
26,A,28.96,6846,1.0
26,C,32.04,6726,0.98
26,D,33.51,7747,0.83
26,B,35.7,6870,1.01
26,G,37.54,7339,0.79
26,F,39.78,9861,0.82
26,D,40.61,7795,0.88
26,B,42.64,6846,1.01
26,D,44.32,7939,0.73
26,B,46.44,6798,1.0
26,A,48.29,6774,1.0
26,C,51.4,6750,0.99
26,A,53.35,6750,0.99
26,G,56.59,7411,0.69
26,F,58.93,9909,0.86
26,A,60.2,6750,0.99
26,D,63.07,7771,0.85
26,A,65.14,6726,0.99
26,D,67.99,8036,0.67
26,A,70.18,6846,1.01
26,B,73.25,6774,0.99
26,E,75.07,7819,0.84
26,X,76.36,6882,0.91
27,E,9.55,7723,0.84
27,C,11.01,6798,1.0
27,D,12.54,7939,0.75
27,G,14.63,7387,0.77
27,B,17.02,6894,1.01
27,F,18.82,9765,0.87
27,D,19.57,7843,0.8
27,B,21.6,6846,0.98
27,E,23.48,7555,0.64
27,G,24.8,7339,0.7
27,A,27.14,6798,1.0
27,F,30.46,10030,0.77
27,E,31.62,7723,0.88
27,B,32.97,6774,0.99
27,G,34.82,7363,0.77
27,E,37.09,7747,0.84
27,D,38.14,7747,0.87
27,G,40.16,7387,0.88
27,F,42.31,9813,0.85
27,C,43.42,6822,0.99
27,E,45.3,7699,0.75
27,D,46.25,7843,0.78
27,F,48.39,10030,0.77
27,A,49.55,6846,1.01
27,X,52.57,6882,0.84
28,D,9.56,7867,0.88
28,B,11.6,6798,1.0
28,G,13.46,7531,0.66
28,D,15.27,7891,0.85
28,F,17.52,9957,0.82
28,G,18.68,7579,0.58
28,E,21.01,7579,0.66
28,G,22.36,7483,0.78
28,F,24.51,10078,0.67
28,D,25.18,7915,0.74
28,G,27.36,7483,0.66
28,F,29.52,10006,0.75
28,A,30.74,6822,1.0
28,C,34.0,6726,0.98
28,X,35.67,6882,0.85
29,E,9.52,7531,0.59
29,B,10.9,6894,1.02
29,G,12.73,7579,0.49
29,A,15.01,6894,1.02
29,B,18.15,6870,1.01
29,F,20.2,10006,0.79
29,B,21.22,6894,1.01
29,G,23.21,7387,0.71
29,E,25.44,7819,0.76
29,F,26.8,9789,0.81
29,B,27.94,6750,0.99
29,G,29.82,7459,0.74
29,E,32.1,7771,0.84
29,G,33.63,7387,0.8
29,B,36.03,6774,1.0
29,A,38.02,6726,0.98
29,C,41.3,6846,0.99
29,F,43.19,9885,0.86
29,A,44.39,6870,1.02
29,C,47.64,6726,0.99
29,B,49.55,6726,0.98
29,G,51.68,7363,0.7
29,D,53.48,7843,0.89
29,X,55.48,6882,0.83
30,A,9.99,6774,1.0
30,G,13.1,7531,0.66
30,D,15.0,7867,0.85
30,A,17.04,6870,1.01
30,D,19.88,7915,0.79
30,G,22.0,7555,0.61
30,A,24.14,6870,1.01
30,G,27.15,7483,0.79
30,D,28.91,7915,0.82
30,G,30.94,7363,0.83
30,B,33.28,6894,1.01
30,A,35.13,6798,1.0
30,G,38.24,7507,0.69
30,E,40.63,7579,0.66
30,C,41.95,6822,1.0
30,A,43.67,6702,0.99
30,E,46.94,7555,0.63
30,A,48.46,6846,1.01
30,F,51.55,9909,0.88
30,X,52.54,6882,0.93
31,G,9.97,7483,0.78
31,F,12.19,9789,0.88
31,B,13.29,6774,0.99
31,F,15.26,10054,0.74
31,C,16.48,6750,0.99
31,A,18.41,6870,1.01
31,D,21.14,7915,0.8
31,B,23.15,6798,1.0
31,C,25.22,6774,0.99
31,D,26.55,7987,0.72
31,C,28.58,6894,1.01
31,G,30.32,7507,0.68
31,D,32.32,7747,0.85
31,E,34.56,7531,0.6
31,X,35.86,6882,0.9
32,B,9.98,6822,1.01
32,D,11.63,7747,0.85
32,G,13.62,7531,0.66
32,B,15.92,6870,1.01
32,E,17.89,7675,0.79
32,D,18.89,7771,0.79
32,A,21.19,6774,0.99
32,E,24.54,7531,0.6
32,D,25.57,7939,0.76
32,B,27.61,6750,0.99
32,F,29.58,10030,0.74
32,G,30.59,7507,0.74
32,F,32.76,9981,0.7
32,C,33.79,6726,0.99
32,X,35.45,6882,0.85
33,F,9.94,9957,0.87
33,E,10.95,7795,0.86
33,G,12.49,7579,0.53
33,E,14.68,7675,0.86
33,A,16.15,6750,0.99
33,F,19.48,9981,0.77
33,G,20.6,7555,0.57
33,A,22.76,6726,0.99
33,B,26.11,6726,0.98
33,A,28.16,6870,1.01
33,F,31.27,9837,0.88
33,A,32.41,6726,0.99
33,F,35.76,10006,0.79
33,E,36.76,7771,0.91
33,F,38.2,10030,0.78
33,C,39.41,6846,1.0
33,E,41.34,7627,0.7
33,G,42.86,7507,0.7
33,E,45.08,7603,0.71
33,A,46.56,6846,1.01
33,C,49.8,6726,0.99
33,G,51.5,7435,0.83
33,B,53.71,6726,0.98
